time	theta_jn	ra	psi	phi_orb	mtotal_ref	mtotal	logw	logprior	logl	hrss	deltalogll1	deltaloglh1	deltalogl	dec	
1.11117845302230e+09	1.94037928618705e-01	5.72038141400313e+00	2.44886154737417e+00	4.29989763232984e+00	1.00000000000000e+02	2.10865505123683e+02	-3.46708939273686e+01	1.87160477553243e+02	-1.83558480643530e+03	4.74343914433402e-21	3.57957835864536e+01	8.27912181078542e+01	1.20355788823999e+02	2.42195107349787e-01	
1.11117845301674e+09	7.25889929944940e-02	5.77023176375788e+00	1.95227918251842e+00	4.63322043577562e+00	1.00000000000000e+02	2.26617723552900e+02	-3.51962527677266e+01	1.87688593042284e+02	-1.83553906550790e+03	4.15542113315413e-21	3.66726391451351e+01	8.23844338244414e+01	1.20401529751400e+02	2.47316415721333e-01	
1.11117845302143e+09	2.14660323373975e-02	5.60711308394669e+00	1.57862550444488e+00	4.33675673587422e+00	1.00000000000000e+02	2.27850987862986e+02	-2.94110315141835e+01	1.87908528190072e+02	-1.83550208021857e+03	3.53988878638909e-21	3.22300711502713e+01	4.70852442841469e+01	1.20438515040724e+02	8.81230207243670e-01	
1.11117845301621e+09	2.67363665749246e-03	4.82652209413289e+00	1.63749985262481e+00	1.73486676106190e+00	1.00000000000000e+02	2.17349233752525e+02	-3.54940760327018e+01	1.85131037276613e+02	-1.83544538028701e+03	7.16969811990643e-21	3.65237690613199e+01	8.46744181066894e+01	1.20495214972282e+02	8.42132993637979e-01	
1.11117845300969e+09	3.75641663450459e-02	4.76256714867864e+00	2.78775106453444e+00	6.44410169037031e-01	1.00000000000000e+02	2.38149798352428e+02	-3.60442474628856e+01	1.86633106924301e+02	-1.83543303960632e+03	4.93735290552987e-21	4.09920759092048e+01	7.95154797437724e+01	1.20507555652977e+02	8.33187837839530e-01	
1.11117845301613e+09	6.39680356822927e-01	5.45387789430995e+00	7.87692359800073e-01	4.45264519307173e+00	1.00000000000000e+02	2.40826531242869e+02	-3.60584175115555e+01	1.86286976745275e+02	-1.83531186987303e+03	5.08291716000724e-21	3.82340567746244e+01	8.25023985791712e+01	1.20628725386267e+02	1.00701064532057e+00	
1.11117845301131e+09	2.21402466772289e-01	4.61273182836208e+00	3.70636462774316e-01	1.07673872334966e+00	1.00000000000000e+02	2.27630880119852e+02	-3.59484129126011e+01	1.86650211152356e+02	-1.83513658974423e+03	4.86800651602343e-21	3.67111166203979e+01	8.48136959938148e+01	1.20804005515070e+02	8.67822534013292e-01	
1.11117845301212e+09	3.01645199163975e-01	5.16847650647206e+00	2.28394061826982e+00	6.09876646273490e+00	1.00000000000000e+02	2.38836183832772e+02	-3.62249952484682e+01	1.86191781919200e+02	-1.83503214865548e+03	5.57071338767285e-21	3.83552612370420e+01	8.27356011856602e+01	1.20908446603822e+02	7.94023153420329e-01	
1.11117845302420e+09	1.03043379174699e-01	5.42397218887404e+00	3.12442559190859e+00	2.28285775264635e+00	1.00000000000000e+02	2.10894247838372e+02	-3.60944580161914e+01	1.86875754067278e+02	-1.83499463101163e+03	4.66422661362813e-21	3.92282071575195e+01	8.58150320092109e+01	1.20945964247668e+02	8.19350409988046e-01	
1.11117845301752e+09	5.31377710125945e-02	5.44554789448205e+00	1.02380094124072e+00	3.86327326926459e+00	1.00000000000000e+02	2.40292279515955e+02	-3.56499360083501e+01	1.86159944902009e+02	-1.83497746234037e+03	5.83699446646726e-21	3.84013571216821e+01	8.33998642707821e+01	1.20963132918931e+02	6.12082257741987e-01	
1.11117845301493e+09	4.30676783210699e-02	5.73196096482383e+00	1.45770070717482e+00	4.52427601035224e+00	1.00000000000000e+02	2.51421060169432e+02	-3.62329169909314e+01	1.86967094134671e+02	-1.83497461737031e+03	4.94281729666426e-21	3.96150368320391e+01	8.17211126585643e+01	1.20965977888990e+02	3.38192894228082e-01	
1.11117845301464e+09	3.00427267091797e-01	5.03311111076312e+00	2.82870488323841e+00	3.47710119551891e-01	1.00000000000000e+02	2.39517229238181e+02	-3.36534107322425e+01	1.86759172897584e+02	-1.83496088689027e+03	4.36063361360899e-21	3.77022310316796e+01	8.47368477913247e+01	1.20979708369029e+02	1.08809954103308e+00	
1.11117845301482e+09	2.70695810346735e-01	5.19878624531987e+00	4.06447658028580e-01	3.80430865388874e+00	1.00000000000000e+02	2.30585168123251e+02	-3.60737757951035e+01	1.85702088456999e+02	-1.83490026092777e+03	6.43260426500507e-21	4.03038052713525e+01	8.37086099523030e+01	1.21040334331529e+02	7.01725245039355e-01	
1.11117845301665e+09	3.91646931644084e-02	5.55259872131145e+00	1.10949294380367e+00	4.39928573663198e+00	1.00000000000000e+02	2.45672900064438e+02	-3.57250039476741e+01	1.87241159187827e+02	-1.83487062728593e+03	4.25413808118001e-21	4.19261908421150e+01	8.17815396199146e+01	1.21069967973366e+02	8.21879977113977e-01	
1.11117845301958e+09	3.75940048423776e-01	5.07000932183696e+00	2.57967665413572e+00	5.38429012800623e+00	1.00000000000000e+02	2.14081439862910e+02	-3.60853497222059e+01	1.86248841959801e+02	-1.83474881520186e+03	5.47210638072919e-21	3.74780702382544e+01	8.41652358256129e+01	1.21191780057433e+02	8.07959111865372e-01	
1.11117845301621e+09	2.06159059113080e-03	4.82751915589192e+00	1.63222952800112e+00	1.67385941291783e+00	1.00000000000000e+02	2.17358007531368e+02	-3.51541939060978e+01	1.85126613767990e+02	-1.83474240809129e+03	7.17854954851359e-21	3.94123207073811e+01	7.95284117877202e+01	1.21198187168009e+02	8.41676094395844e-01	
1.11117845301420e+09	3.61119114941121e-02	5.00884258415660e+00	1.95917033612817e+00	5.83364842034200e+00	1.00000000000000e+02	2.45961291370416e+02	-3.62099281001054e+01	1.85389691146942e+02	-1.83472007036128e+03	6.13978704585689e-21	4.19094785902593e+01	8.14999623675621e+01	1.21220524898013e+02	1.08851385093051e+00	
1.11117845300260e+09	2.24179464603896e-01	4.17461805224846e+00	2.75347547139716e+00	1.02956228164511e+00	1.00000000000000e+02	2.38874938782136e+02	-3.61636839309161e+01	1.85947221748674e+02	-1.83470828512944e+03	6.03340231062373e-21	3.90826674405747e+01	8.16260659068315e+01	1.21232310129855e+02	7.14732375168941e-01	
1.11117845301783e+09	6.49847562029838e-01	5.83106415355956e+00	5.61157295707222e-01	2.54901394697901e-01	1.00000000000000e+02	2.39678123076986e+02	-3.59538293625595e+01	1.86896373194974e+02	-1.83469211391869e+03	4.98046970973465e-21	3.99444570858618e+01	8.35630346428741e+01	1.21248481340603e+02	4.36978301454602e-01	
1.11117845301752e+09	3.52627504389983e-01	5.77217952615746e+00	7.01657671041443e-01	3.45379026682969e+00	1.00000000000000e+02	2.32184967118512e+02	-3.52570880771002e+01	1.86036618382387e+02	-1.83461032692220e+03	6.24411824451817e-21	3.97543977875805e+01	8.35972941258827e+01	1.21330268337093e+02	3.25594147801837e-01	
1.11117845301720e+09	5.16981442626260e-03	5.37314415045709e+00	2.30093217605419e+00	5.65536911434145e+00	1.00000000000000e+02	2.39417136575163e+02	-3.48352537880848e+01	1.85977695431872e+02	-1.83454364693229e+03	5.48876154620861e-21	3.93838117150882e+01	7.91525183428184e+01	1.21396948327005e+02	1.00828097248415e+00	
1.11117845302331e+09	3.52571502800413e-01	5.40638525786245e+00	2.99500035446151e+00	2.47256398857504e+00	1.00000000000000e+02	2.20614376997016e+02	-3.62305792020295e+01	1.86439301515560e+02	-1.83447717934544e+03	4.89583813986561e-21	3.55742109189950e+01	8.70740722843875e+01	1.21463415913852e+02	1.00553808114746e+00	
1.11117845301448e+09	1.63819919046036e-01	5.37167708776262e+00	2.39044187847047e+00	3.03056192729427e+00	1.00000000000000e+02	2.41668076083257e+02	-3.62559863307823e+01	1.86695424731101e+02	-1.83445991874594e+03	4.62137746456199e-21	3.76904809325297e+01	8.72506179271082e+01	1.21480676513355e+02	9.89165675128717e-01	
1.11117845301121e+09	6.26463179623334e-02	4.42243308025156e+00	9.67060937464718e-01	4.90659639430164e+00	1.00000000000000e+02	2.31331273875322e+02	-3.51940939156322e+01	1.85801935098041e+02	-1.83441578264508e+03	5.86044832848647e-21	3.98575176327482e+01	8.31220948687040e+01	1.21524812614213e+02	9.50342261126493e-01	
1.11117845301852e+09	8.75051364509851e-01	5.07016168317796e+00	5.11307531524500e-01	7.71507291352319e-01	1.00000000000000e+02	2.20752443470767e+02	-3.48876192658847e+01	1.85216598812303e+02	-1.83440790584477e+03	6.28255138371824e-21	3.79070235134889e+01	8.28368518654327e+01	1.21532689414526e+02	1.12890210194719e+00	
1.11117845301643e+09	1.09991953194417e-01	4.77510632775361e+00	2.99413907632224e+00	3.77935916222921e-01	1.00000000000000e+02	2.30990558702234e+02	-3.63005598531520e+01	1.86691386341239e+02	-1.83440615376423e+03	4.36973767157103e-21	3.55742109189950e+01	8.70740722843875e+01	1.21534441495064e+02	1.11811155347648e+00	
1.11117845301922e+09	1.56585115427504e-01	5.43313528213386e+00	1.31953302730756e+00	4.29576283552506e+00	1.00000000000000e+02	2.27209058922085e+02	-3.63727150445445e+01	1.86583374262211e+02	-1.83429146195932e+03	5.11226474077363e-21	3.98866968746025e+01	8.20496919709441e+01	1.21649133299978e+02	7.44390652558056e-01	
1.11117845301434e+09	1.80947618058682e-01	5.74679089613435e+00	3.34867911500564e-01	3.19859853736188e+00	1.00000000000000e+02	2.32112574575834e+02	-3.56169635733587e+01	1.86248152980429e+02	-1.83425338803064e+03	5.98138535475568e-21	4.06178894455572e+01	8.59750059577632e+01	1.21687207228660e+02	1.69216751891992e-01	
1.11117845301521e+09	2.41390572230384e-02	5.63927366966745e+00	1.36056181135293e+00	1.52612498238658e+00	1.00000000000000e+02	2.54899675391807e+02	-3.38454173984312e+01	1.86483474874631e+02	-1.83423428505217e+03	5.35925003239219e-21	4.00246478151696e+01	7.11705245477680e+01	1.21706310207123e+02	6.37102870187261e-01	
